时间段,股票个数,交易笔数,总成本,总收益,做对笔数,做错笔数,胜率,败率,收益率
2024-09-26 14:15:00,30,30,61926,1126.0,21,9,70.0,30.0,1.82
2024-09-26 14:18:00,31,31,60683,993.0,19,12,61.29,38.71,1.64
2024-09-26 14:21:00,26,26,52462,1027.0,16,10,61.54,38.46,1.96
2024-09-26 14:24:00,28,28,56247,345.0,12,16,42.86,57.14,0.61
2024-09-26 14:27:00,31,31,63560,365.0,15,16,48.39,51.61,0.57
2024-09-26 14:30:00,29,29,62724,573.0,14,15,48.28,51.72,0.91
2024-09-26 14:33:00,28,28,59766,912.0,14,14,50.0,50.0,1.53
2024-09-26 14:36:00,27,27,59131,773.0,15,12,55.56,44.44,1.31
2024-09-26 14:39:00,26,26,55499,549.0,11,15,42.31,57.69,0.99
2024-09-26 14:42:00,25,25,55547,183.0,8,17,32.0,68.0,0.33
2024-09-26 14:45:00,24,24,52764,130.0,8,16,33.33,66.67,0.25
2024-09-26 14:48:00,24,24,57489,-10.0,6,18,25.0,75.0,-0.02
2024-09-26 14:51:00,23,23,53576,2.0,6,17,26.09,73.91,0.0
2024-09-26 14:54:00,23,23,54886,48.0,7,16,30.43,69.57,0.09
2024-09-26 14:57:00,22,22,51067,11.0,4,18,18.18,81.82,0.02
