上榜时间,股票代码,股票名称,现价,涨跌幅,成交额,上榜涨幅,榜间涨幅
2024-06-03 10:54:31,002938,鹏鼎控股,30.47,1.91,29117.87,0.64,0.00
2024-06-03 10:54:31,300661,圣邦股份,79.49,2.48,9899.49,0.20,0.00
2024-06-03 10:54:31,600183,生益科技,20.59,4.1,28426.75,0.00,0.00
2024-06-03 10:54:31,300458,全志科技,21.47,3.47,75601.33,0.24,-0.10
2024-06-03 10:58:52,300661,圣邦股份,79.76,2.82,11100.59,0.54,0.34
2024-06-03 10:58:52,300408,三环集团,29.53,1.51,13829.05,-0.35,0.17
2024-06-03 10:58:52,300502,新易盛,96.55,11.32,301198.52,3.77,-0.13
2024-06-03 10:58:52,002938,鹏鼎控股,30.51,2.04,29849.44,0.77,-0.13
2024-06-03 10:58:52,600183,生益科技,20.63,4.3,30125.10,0.20,-0.15
2024-06-03 10:58:52,002463,沪电股份,34.15,9.28,162375.47,3.26,-0.16
2024-06-03 10:58:52,300458,全志科技,21.41,3.18,76249.17,-0.05,-0.29
2024-06-03 11:03:23,300458,全志科技,21.45,3.37,77018.31,0.14,0.19
2024-06-03 11:03:23,002938,鹏鼎控股,30.5,2.01,30598.78,0.74,0.04
2024-06-03 11:03:23,300408,三环集团,29.53,1.51,14113.19,-0.35,0.00
2024-06-03 11:03:23,600183,生益科技,20.62,4.25,31230.48,0.15,0.00
2024-06-03 11:03:23,002463,沪电股份,34.23,9.54,166523.88,3.52,-0.06
2024-06-03 11:03:23,300502,新易盛,96.55,11.32,307595.18,3.77,-0.07
2024-06-03 11:03:23,300661,圣邦股份,79.6,2.62,11651.74,0.34,-0.20
2024-06-03 11:07:44,300458,全志科技,21.49,3.57,77780.19,0.34,0.20
2024-06-03 11:07:44,002463,沪电股份,33.98,8.74,170758.69,2.72,0.07
2024-06-03 11:07:44,300502,新易盛,96.2,10.92,311252.96,3.37,0.05
2024-06-03 11:07:44,002938,鹏鼎控股,30.6,2.34,31518.11,1.07,0.00
2024-06-03 11:07:44,300661,圣邦股份,79.6,2.62,11957.88,0.34,0.00
2024-06-03 11:07:44,300814,中富电路,34.2,17.12,40747.79,0.00,0.00
2024-06-03 11:07:44,300408,三环集团,29.5,1.41,14327.07,-0.45,-0.10
2024-06-03 11:12:02,002938,鹏鼎控股,30.48,1.94,32291.09,0.67,-0.07
2024-06-03 11:12:02,002463,沪电股份,33.88,8.42,173967.87,2.40,-0.09
2024-06-03 11:12:02,300408,三环集团,29.47,1.31,14606.38,-0.55,-0.10
2024-06-03 11:12:02,300661,圣邦股份,79.49,2.48,12079.56,0.20,-0.14
2024-06-03 11:12:02,300502,新易盛,95.91,10.58,315896.18,3.03,-0.34
2024-06-03 11:12:02,300458,全志科技,21.35,2.89,78912.96,-0.34,-0.68
2024-06-03 11:16:18,002938,鹏鼎控股,30.51,2.04,33213.82,0.77,0.23
2024-06-03 11:16:18,002463,沪电股份,33.71,7.87,177617.29,1.85,0.03
2024-06-03 11:16:18,300408,三环集团,29.46,1.27,14975.46,-0.59,-0.04
2024-06-03 11:16:18,300502,新易盛,95.5,10.11,319585.31,2.56,-0.47
2024-06-03 11:16:18,300661,圣邦股份,78.97,1.8,12795.92,-0.48,-0.68
2024-06-03 11:16:18,300458,全志科技,21.19,2.12,81200.76,-1.11,-0.77
2024-06-03 11:20:32,002938,鹏鼎控股,30.45,1.84,33869.97,0.57,0.03
2024-06-03 11:20:32,300502,新易盛,95.51,10.12,323192.91,2.57,0.01
2024-06-03 11:20:32,002463,沪电股份,33.61,7.55,180250.30,1.53,-0.03
2024-06-03 11:20:32,300458,全志科技,21.18,2.07,83119.82,-1.16,-0.05
2024-06-03 11:20:32,300408,三环集团,29.43,1.17,15750.47,-0.69,-0.10
2024-06-03 11:24:49,300661,圣邦股份,79.02,1.87,13328.16,-0.41,0.07
2024-06-03 11:24:49,300458,全志科技,21.19,2.12,84212.33,-1.11,0.05
2024-06-03 11:24:49,300408,三环集团,29.44,1.2,16093.54,-0.66,0.03
2024-06-03 11:24:49,002463,沪电股份,33.7,7.84,182257.56,1.82,0.00
2024-06-03 11:24:49,002938,鹏鼎控股,30.46,1.87,34600.73,0.60,-0.07
2024-06-03 11:24:49,300502,新易盛,95.41,10.01,326374.03,2.46,-0.11
2024-06-03 11:29:11,300458,全志科技,21.32,2.75,85005.92,-0.48,0.63
2024-06-03 11:29:11,600171,上海贝岭,16.69,0.24,146017.82,-1.02,0.12
2024-06-03 11:29:11,002938,鹏鼎控股,30.41,1.71,35302.28,0.44,-0.03
2024-06-03 11:29:11,002463,沪电股份,33.76,8.03,183688.50,2.01,-0.03
2024-06-03 11:29:11,300408,三环集团,29.38,1.0,16562.27,-0.86,-0.20
2024-06-03 11:29:11,300661,圣邦股份,78.85,1.65,13897.44,-0.63,-0.22
2024-06-03 11:29:11,300502,新易盛,94.9,9.42,331319.78,1.87,-0.59
2024-06-03 13:03:35,300661,圣邦股份,79.02,1.87,14312.15,-0.41,0.22
2024-06-03 13:03:35,300408,三环集团,29.42,1.13,17424.85,-0.73,0.13
2024-06-03 13:03:35,002938,鹏鼎控股,30.49,1.97,36812.60,0.70,0.00
2024-06-03 13:03:35,002463,沪电股份,33.7,7.84,186383.21,1.82,-0.10
2024-06-03 13:03:35,600171,上海贝岭,16.66,0.06,147074.71,-1.20,-0.18
2024-06-03 13:03:35,300458,全志科技,21.26,2.46,86318.72,-0.77,-0.29
